MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
6,250.0,88.00,3139.0,14.5,71,1,ford mustang
4,122.0,86.00,2220.0,14.0,71,1,mercury capri 2000
4,116.0,90.00,2123.0,14.0,71,2,opel 1900
4,79.0,70.00,2074.0,19.5,71,2,peugeot 304
4,88.0,76.00,2065.0,14.5,71,2,fiat 124b
4,71.0,65.00,1773.0,19.0,71,3,toyota corolla 1200
4,72.0,69.00,1613.0,18.0,71,3,datsun 1200
4,97.0,60.00,1834.0,19.0,71,2,volkswagen model 111
4,91.0,70.00,1955.0,20.5,71,1,plymouth cricket
4,113.0,95.00,2278.0,15.5,72,3,toyota corona hardtop
4,97.5,80.00,2126.0,17.0,72,1,dodge colt hardtop
4,97.0,54.00,2254.0,23.5,72,2,volkswagen type 3
4,140.0,90.00,2408.0,19.5,72,1,chevrolet vega
4,122.0,86.00,2226.0,16.5,72,1,ford pinto runabout
8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala
8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina
8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii
8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500
8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst
8,429.0,208.0,4633.0,11.0,72,1,mercury marquis
8,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom
8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale
8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal
3,70.0,97.00,2330.0,13.5,72,3,mazda rx2 coupe
8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw)
8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw)
8,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw)
8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw)
4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw)
4,121.0,76.00,2511.0,18.0,72,2,volkswagen 411 (sw)
4,120.0,87.00,2979.0,19.5,72,2,peugeot 504 (sw)
4,96.0,69.00,2189.0,18.0,72,2,renault 12 (sw)
4,122.0,86.00,2395.0,16.0,72,1,ford pinto (sw)
4,97.0,92.00,2288.0,17.0,72,3,datsun 510 (sw)
4,120.0,97.00,2506.0,14.5,72,3,toyouta corona mark ii (sw)
4,98.0,80.00,2164.0,15.0,72,1,dodge colt (sw)
4,97.0,88.00,2100.0,16.5,72,3,toyota corolla 1600 (sw)
8,350.0,175.0,4100.0,13.0,73,1,buick century 350
8,304.0,150.0,3672.0,11.5,73,1,amc matador
8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu
8,302.0,137.0,4042.0,14.5,73,1,ford gran torino
8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom
8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham
8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic
8,351.0,158.0,4363.0,13.0,73,1,ford ltd
8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan
8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham
8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom
8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham
6,225.0,105.0,3121.0,16.5,73,1,plymouth valiant
6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom
6,232.0,100.0,2945.0,16.0,73,1,amc hornet
6,250.0,88.00,3021.0,16.5,73,1,ford maverick
6,198.0,95.00,2904.0,16.0,73,1,plymouth duster
4,97.0,46.00,1950.0,21.0,73,2,volkswagen super beetle
8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala
8,400.0,167.0,4906.0,12.5,73,1,ford country
8,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb
8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser
6,232.0,100.0,2789.0,15.0,73,1,amc gremlin
4,97.0,88.00,2279.0,19.0,73,3,toyota carina
4,140.0,72.00,2401.0,19.5,73,1,chevrolet vega
4,108.0,94.00,2379.0,16.5,73,3,datsun 610
3,70.0,90.00,2124.0,13.5,73,3,maxda rx3
4,122.0,85.00,2310.0,18.5,73,1,ford pinto
6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6
4,98.0,90.00,2265.0,15.5,73,2,fiat 124 sport coupe
8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s
8,400.0,230.0,4278.0,9.5,73,1,pontiac grand prix
4,68.0,49.00,1867.0,19.5,73,2,fiat 128
4,116.0,75.00,2158.0,15.5,73,2,opel manta
4,114.0,91.00,2582.0,14.0,73,2,audi 100ls
4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea
8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom
4,121.0,110.0,2660.0,14.0,73,2,saab 99le
6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii
8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega
6,198.0,95.00,3102.0,16.5,74,1,plymouth duster
6,200.0,?,2875.0,17.0,74,1,ford maverick
6,232.0,100.0,2901.0,16.0,74,1,amc hornet
6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova
4,79.0,67.00,1950.0,19.0,74,3,datsun b210
4,122.0,80.00,2451.0,16.5,74,1,ford pinto
4,71.0,65.00,1836.0,21.0,74,3,toyota corolla 1200
4,140.0,75.00,2542.0,17.0,74,1,chevrolet vega
6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic
6,258.0,110.0,3632.0,18.0,74,1,amc matador
6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring
8,302.0,140.0,4141.0,14.0,74,1,ford gran torino
8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw)
8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw)
8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw)
8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw)
4,98.0,83.00,2219.0,16.5,74,2,audi fox
4,79.0,67.00,1963.0,15.5,74,2,volkswagen dasher
4,97.0,78.00,2300.0,14.5,74,2,opel manta
4,76.0,52.00,1649.0,16.5,74,3,toyota corona
4,83.0,61.00,2003.0,19.0,74,3,datsun 710
4,90.0,75.00,2125.0,14.5,74,1,dodge colt
4,90.0,75.00,2108.0,15.5,74,2,fiat 128
4,116.0,75.00,2246.0,14.0,74,2,fiat 124 tc
4,120.0,97.00,2489.0,15.0,74,3,honda civic
4,108.0,93.00,2391.0,15.5,74,3,subaru
4,79.0,67.00,2000.0,16.0,74,2,fiat x1.9
6,225.0,95.00,3264.0,16.0,75,1,plymouth valiant custom
6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova
6,250.0,72.00,3432.0,21.0,75,1,mercury monarch
6,250.0,72.00,3158.0,19.5,75,1,ford maverick
8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina
8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air
8,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury
8,351.0,148.0,4657.0,13.5,75,1,ford ltd
6,231.0,110.0,3907.0,21.0,75,1,buick century
6,250.0,105.0,3897.0,18.5,75,1,chevroelt chevelle malibu
6,258.0,110.0,3730.0,19.0,75,1,amc matador
6,225.0,95.00,3785.0,19.0,75,1,plymouth fury
6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk
8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2
8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii
4,97.0,75.00,2171.0,16.0,75,3,toyota corolla
4,140.0,83.00,2639.0,17.0,75,1,ford pinto
6,232.0,100.0,2914.0,16.0,75,1,amc gremlin
4,140.0,78.00,2592.0,18.5,75,1,pontiac astro
4,134.0,96.00,2702.0,13.5,75,3,toyota corona
4,90.0,71.00,2223.0,16.5,75,2,volkswagen dasher
4,119.0,97.00,2545.0,17.0,75,3,datsun 710
6,171.0,97.00,2984.0,14.5,75,1,ford pinto
4,90.0,70.00,1937.0,14.0,75,2,volkswagen rabbit
6,232.0,90.00,3211.0,17.0,75,1,amc pacer
4,115.0,95.00,2694.0,15.0,75,2,audi 100ls
4,120.0,88.00,2957.0,17.0,75,2,peugeot 504
4,121.0,98.00,2945.0,14.5,75,2,volvo 244dl
4,121.0,115.0,2671.0,13.5,75,2,saab 99le
4,91.0,53.00,1795.0,17.5,75,3,honda civic cvcc
4,107.0,86.00,2464.0,15.5,76,2,fiat 131
4,116.0,81.00,2220.0,16.9,76,2,opel 1900
4,140.0,92.00,2572.0,14.9,76,1,capri ii
4,98.0,79.00,2255.0,17.7,76,1,dodge colt
4,101.0,83.00,2202.0,15.3,76,2,renault 12tl
8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic
8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham
8,304.0,120.0,3962.0,13.9,76,1,amc matador
8,351.0,152.0,4215.0,12.8,76,1,ford gran torino
6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant
6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova
6,200.0,81.00,3012.0,17.6,76,1,ford maverick
6,232.0,90.00,3085.0,17.6,76,1,amc hornet
4,85.0,52.00,2035.0,22.2,76,1,chevrolet chevette
4,98.0,60.00,2164.0,22.1,76,1,chevrolet woody
4,90.0,70.00,1937.0,14.2,76,2,vw rabbit
4,91.0,53.00,1795.0,17.4,76,3,honda civic
6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se
6,250.0,78.00,3574.0,21.0,76,1,ford granada ghia
6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj
6,258.0,95.00,3193.0,17.8,76,1,amc pacer d/l
4,97.0,71.00,1825.0,12.2,76,2,volkswagen rabbit
4,85.0,70.00,1990.0,17.0,76,3,datsun b-210
4,97.0,75.00,2155.0,16.4,76,3,toyota corolla
4,140.0,72.00,2565.0,13.6,76,1,ford pinto
4,130.0,102.0,3150.0,15.7,76,2,volvo 245
8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8
4,120.0,88.00,3270.0,21.9,76,2,peugeot 504
6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii
6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s
8,350.0,180.0,4380.0,12.1,76,1,cadillac seville
8,350.0,145.0,4055.0,12.0,76,1,chevy c10
8,302.0,130.0,3870.0,15.0,76,1,ford f108
8,318.0,150.0,3755.0,14.0,76,1,dodge d100
4,98.0,68.00,2045.0,18.5,77,3,honda accord cvcc
4,111.0,80.00,2155.0,14.8,77,1,buick opel isuzu deluxe
4,79.0,58.00,1825.0,18.6,77,2,renault 5 gtl
4,122.0,96.00,2300.0,15.5,77,1,plymouth arrow gs
4,85.0,70.00,1945.0,16.8,77,3,datsun f-10 hatchback
8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic
8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme
8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham
8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham
6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours
6,231.0,105.0,3425.0,16.9,77,1,buick skylark
6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom
6,250.0,98.00,3525.0,19.0,77,1,ford granada
8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj
8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau
8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba
8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird
4,97.0,78.00,1940.0,14.5,77,2,volkswagen rabbit custom
4,151.0,88.00,2740.0,16.0,77,1,pontiac sunbird coupe
4,97.0,75.00,2265.0,18.2,77,3,toyota corolla liftback
4,140.0,89.00,2755.0,15.8,77,1,ford mustang ii 2+2
4,98.0,63.00,2051.0,17.0,77,1,chevrolet chevette
4,98.0,83.00,2075.0,15.9,77,1,dodge colt m/m
4,97.0,67.00,1985.0,16.4,77,3,subaru dl
4,97.0,78.00,2190.0,14.1,77,2,volkswagen dasher
6,146.0,97.00,2815.0,14.5,77,3,datsun 810
4,121.0,110.0,2600.0,12.8,77,2,bmw 320i
3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4
4,90.0,48.00,1985.0,21.5,78,2,volkswagen rabbit custom diesel
4,98.0,66.00,1800.0,14.4,78,1,ford fiesta
4,78.0,52.00,1985.0,19.4,78,3,mazda glc deluxe
4,85.0,70.00,2070.0,18.6,78,3,datsun b210 gx
4,91.0,60.00,1800.0,16.4,78,3,honda civic cvcc
8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham
8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat
8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia
6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj
6,200.0,95.00,3155.0,18.2,78,1,chevrolet malibu
6,200.0,85.00,2965.0,15.8,78,1,ford fairmont (auto)
4,140.0,88.00,2720.0,15.4,78,1,ford fairmont (man)
6,225.0,100.0,3430.0,17.2,78,1,plymouth volare
6,232.0,90.00,3210.0,17.2,78,1,amc concord
6,231.0,105.0,3380.0,15.8,78,1,buick century special
6,200.0,85.00,3070.0,16.7,78,1,mercury zephyr
6,225.0,110.0,3620.0,18.7,78,1,dodge aspen
6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l
8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau
6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo)
8,302.0,139.0,3205.0,11.2,78,1,ford futura
8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe
4,98.0,68.00,2155.0,16.5,78,1,chevrolet chevette
4,134.0,95.00,2560.0,14.2,78,3,toyota corona
4,119.0,97.00,2300.0,14.7,78,3,datsun 510
4,105.0,75.00,2230.0,14.5,78,1,dodge omni
4,134.0,95.00,2515.0,14.8,78,3,toyota celica gt liftback
4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo
4,151.0,85.00,2855.0,17.6,78,1,oldsmobile starfire sx
4,119.0,97.00,2405.0,14.9,78,3,datsun 200-sx
5,131.0,103.0,2830.0,15.9,78,2,audi 5000
6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl
4,121.0,115.0,2795.0,15.7,78,2,saab 99gle
6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl
4,89.0,71.00,1990.0,14.9,78,2,volkswagen scirocco
4,98.0,68.00,2135.0,16.6,78,3,honda accord lx
6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6
6,200.0,85.00,2990.0,18.2,79,1,mercury zephyr 6
4,140.0,88.00,2890.0,17.3,79,1,ford fairmont 4
6,232.0,90.00,3265.0,18.2,79,1,amc concord dl 6
6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6
8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic
8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau
8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis
8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis
8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw)
8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw)
8,267.0,125.0,3605.0,15.0,79,1,chevrolet malibu classic (sw)
8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw)
4,89.0,71.00,1925.0,14.0,79,2,vw rabbit custom
4,86.0,65.00,1975.0,15.2,79,3,maxda glc deluxe
4,98.0,80.00,1915.0,14.4,79,1,dodge colt hatchback custom
4,121.0,80.00,2670.0,15.0,79,1,amc spirit dl
5,183.0,77.00,3530.0,20.1,79,2,mercedes benz 300d
8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado
4,141.0,71.00,3190.0,24.8,79,2,peugeot 504
8,260.0,90.00,3420.0,22.2,79,1,oldsmobile cutlass salon brougham
4,105.0,70.00,2200.0,13.2,79,1,plymouth horizon
4,105.0,70.00,2150.0,14.9,79,1,plymouth horizon tc3
4,85.0,65.00,2020.0,19.2,79,3,datsun 210
4,91.0,69.00,2130.0,14.7,79,2,fiat strada custom
4,151.0,90.00,2670.0,16.0,79,1,buick skylark limited
6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation
6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham
4,151.0,90.00,2556.0,13.2,79,1,pontiac phoenix
4,98.0,76.00,2144.0,14.7,80,2,vw rabbit
4,89.0,60.00,1968.0,18.8,80,3,toyota corolla tercel
4,98.0,70.00,2120.0,15.5,80,1,chevrolet chevette
4,86.0,65.00,2019.0,16.4,80,3,datsun 310
4,151.0,90.00,2678.0,16.5,80,1,chevrolet citation
4,140.0,88.00,2870.0,18.1,80,1,ford fairmont
4,151.0,90.00,3003.0,20.1,80,1,amc concord
6,225.0,90.00,3381.0,18.7,80,1,dodge aspen
4,97.0,78.00,2188.0,15.8,80,2,audi 4000
4,134.0,90.00,2711.0,15.5,80,3,toyota corona liftback
4,120.0,75.00,2542.0,17.5,80,3,mazda 626
4,119.0,92.00,2434.0,15.0,80,3,datsun 510 hatchback
4,108.0,75.00,2265.0,15.2,80,3,toyota corolla
4,86.0,65.00,2110.0,17.9,80,3,mazda glc
4,156.0,105.0,2800.0,14.4,80,1,dodge colt
4,85.0,65.00,2110.0,19.2,80,3,datsun 210
4,90.0,48.00,2085.0,21.7,80,2,vw rabbit c (diesel)
4,90.0,48.00,2335.0,23.7,80,2,vw dasher (diesel)
5,121.0,67.00,2950.0,19.9,80,2,audi 5000s (diesel)
4,146.0,67.00,3250.0,21.8,80,2,mercedes-benz 240d
4,91.0,67.00,1850.0,13.8,80,3,honda civic 1500 gl
4,85.0,?,1835.0,17.3,80,2,renault lecar deluxe
4,97.0,67.00,2145.0,18.0,80,3,subaru dl
4,89.0,62.00,1845.0,15.3,80,2,vokswagen rabbit
6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx
3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs
4,122.0,88.00,2500.0,15.1,80,2,triumph tr7 coupe
4,140.0,?,2905.0,14.3,80,1,ford mustang cobra
4,107.0,72.00,2290.0,17.0,80,3,honda accord
4,135.0,84.00,2490.0,15.7,81,1,plymouth reliant
4,151.0,84.00,2635.0,16.4,81,1,buick skylark
4,156.0,92.00,2620.0,14.4,81,1,dodge aries wagon (sw)
6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation
4,135.0,84.00,2385.0,12.9,81,1,plymouth reliant
4,79.0,58.00,1755.0,16.9,81,3,toyota starlet
4,86.0,64.00,1875.0,16.4,81,1,plymouth champ
4,81.0,60.00,1760.0,16.1,81,3,honda civic 1300
4,97.0,67.00,2065.0,17.8,81,3,subaru
4,85.0,65.00,1975.0,19.4,81,3,datsun 210 mpg
4,89.0,62.00,2050.0,17.3,81,3,toyota tercel
4,91.0,68.00,1985.0,16.0,81,3,mazda glc 4
4,105.0,63.00,2215.0,14.9,81,1,plymouth horizon 4
4,98.0,65.00,2045.0,16.2,81,1,ford escort 4w
4,98.0,65.00,2380.0,20.7,81,1,ford escort 2h
4,105.0,74.00,2190.0,14.2,81,2,volkswagen jetta
4,100.0,?,2320.0,15.8,81,2,renault 18i
4,107.0,75.00,2210.0,14.4,81,3,honda prelude
4,108.0,75.00,2350.0,16.8,81,3,toyota corolla
4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx
4,120.0,74.00,2635.0,18.3,81,3,mazda 626
4,141.0,80.00,3230.0,20.4,81,2,peugeot 505s turbo diesel
6,145.0,76.00,3160.0,19.6,81,2,volvo diesel
6,168.0,116.0,2900.0,12.6,81,3,toyota cressida
6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima
6,231.0,110.0,3415.0,15.8,81,1,buick century
8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls
6,200.0,88.00,3060.0,17.1,81,1,ford granada gl
6,225.0,85.00,3465.0,16.6,81,1,chrysler lebaron salon
4,112.0,88.00,2605.0,19.6,82,1,chevrolet cavalier
4,112.0,88.00,2640.0,18.6,82,1,chevrolet cavalier wagon
4,112.0,88.00,2395.0,18.0,82,1,chevrolet cavalier 2-door
4,112.0,85.00,2575.0,16.2,82,1,pontiac j2000 se hatchback
4,135.0,84.00,2525.0,16.0,82,1,dodge aries se
4,151.0,90.00,2735.0,18.0,82,1,pontiac phoenix
4,140.0,92.00,2865.0,16.4,82,1,ford fairmont futura
4,151.0,?,3035.0,20.5,82,1,amc concord dl
4,105.0,74.00,1980.0,15.3,82,2,volkswagen rabbit l
4,91.0,68.00,2025.0,18.2,82,3,mazda glc custom l
4,91.0,68.00,1970.0,17.6,82,3,mazda glc custom
4,105.0,63.00,2125.0,14.7,82,1,plymouth horizon miser
4,98.0,70.00,2125.0,17.3,82,1,mercury lynx l
4,120.0,88.00,2160.0,14.5,82,3,nissan stanza xe
4,107.0,75.00,2205.0,14.5,82,3,honda accord
4,108.0,70.00,2245.0,16.9,82,3,toyota corolla
4,91.0,67.00,1965.0,15.0,82,3,honda civic
4,91.0,67.00,1965.0,15.7,82,3,honda civic (auto)
4,91.0,67.00,1995.0,16.2,82,3,datsun 310 gx
6,181.0,110.0,2945.0,16.4,82,1,buick century limited
6,262.0,85.00,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel)
4,156.0,92.00,2585.0,14.5,82,1,chrysler lebaron medallion
6,232.0,112.0,2835.0,14.7,82,1,ford granada l
4,144.0,96.00,2665.0,13.9,82,3,toyota celica gt
4,135.0,84.00,2370.0,13.0,82,1,dodge charger 2.2
4,151.0,90.00,2950.0,17.3,82,1,chevrolet camaro
4,140.0,86.00,2790.0,15.6,82,1,ford mustang gl
4,97.0,52.00,2130.0,24.6,82,2,vw pickup
4,135.0,84.00,2295.0,11.6,82,1,dodge rampage
4,120.0,79.00,2625.0,18.6,82,1,ford ranger
4,119.0,82.00,2720.0,19.4,82,1,chevy s-10
